Date,CME,ICE,MCO,MSCI,NDAQ,SPGI
2025-06-05,273.6470031738281,178.08139038085938,486.6609191894531,562.2752685546875,83.739013671875,515.760009765625
2025-06-06,272.989990234375,178.20106506347656,488.0683898925781,566.8306884765625,85.34400939941406,519.3599853515625
2025-06-09,268.3500061035156,175.4983367919922,484.67449951171875,556.2245483398438,85.3838882446289,515.0
2025-06-10,266.1000061035156,175.05950927734375,484.14544677734375,556.0650634765625,85.80258178710938,513.9199829101562
2025-06-11,269.6499938964844,177.02423095703125,482.66815185546875,552.6559448242188,86.52033996582031,513.97998046875
2025-06-12,270.9599914550781,178.60000610351562,480.1427001953125,553.4234619140625,86.6300048828125,505.8699951171875
2025-06-13,269.5,178.44000244140625,471.0291442871094,541.0031127929688,85.58999633789062,501.489990234375
2025-06-16,267.510009765625,179.8000030517578,476.0600891113281,545.6283569335938,86.68000030517578,505.0
2025-06-17,269.70001220703125,180.99000549316406,470.3803405761719,546.8046264648438,85.94999694824219,501.07000732421875
2025-06-18,272.1000061035156,179.75999450683594,469.66162109375,541.9899291992188,86.37000274658203,502.6300048828125
2025-06-20,273.989990234375,178.42999267578125,469.1525573730469,543.046630859375,86.0999984741211,504.20001220703125
2025-06-23,272.6600036621094,179.72999572753906,475.4112243652344,553.3536987304688,86.7300033569336,514.5800170898438
2025-06-24,271.3800048828125,180.85000610351562,488.1182861328125,573.8582763671875,88.12000274658203,522.969970703125
2025-06-25,273.0299987792969,180.52999877929688,480.7815246582031,568.1763916015625,88.05000305175781,521.2899780273438
2025-06-26,272.8299865722656,180.8000030517578,480.6717529296875,563.8900756835938,88.38999938964844,515.02001953125
2025-06-27,274.760009765625,181.75,487.1500244140625,574.575927734375,89.08000183105469,517.7100219726562
2025-06-30,275.6199951171875,183.47000122070312,500.6855773925781,574.9049072265625,89.41999816894531,527.2899780273438
2025-07-01,275.4200134277344,181.86000061035156,501.573974609375,579.4902954101562,88.94000244140625,529.3200073242188
2025-07-02,275.82000732421875,181.74000549316406,496.2236328125,580.9954833984375,89.5199966430664,525.6400146484375
2025-07-03,276.70001220703125,183.11000061035156,504.1493225097656,585.8699340820312,90.06999969482422,529.6099853515625
2025-07-07,282.54998779296875,183.08999633789062,501.46417236328125,586.1290893554688,90.55000305175781,530.1799926757812
2025-07-08,275.6300048828125,180.97999572753906,498.1202087402344,579.1214599609375,88.58999633789062,526.3900146484375
2025-07-09,275.6400146484375,182.16000366210938,501.314453125,579.9588012695312,89.83000183105469,528.72998046875
2025-07-10,275.19000244140625,181.82000732421875,504.8081359863281,578.8124389648438,90.7300033569336,529.8300170898438
2025-07-11,275.0799865722656,180.50999450683594,498.6293029785156,563.760498046875,89.41000366210938,527.0700073242188
2025-07-14,277.05999755859375,181.82000732421875,502.5122985839844,568.84423828125,89.66000366210938,530.1199951171875
2025-07-15,275.0,179.7899932861328,494.386962890625,561.3382568359375,88.43000030517578,522.280029296875
2025-07-16,277.5299987792969,180.8000030517578,499.3280334472656,570.3095703125,89.04000091552734,524.3599853515625
2025-07-17,277.82000732421875,181.94000244140625,501.5240478515625,578.333984375,89.94999694824219,525.3599853515625
2025-07-18,274.70001220703125,180.72000122070312,498.9986267089844,576.10107421875,89.37000274658203,524.3800048828125
2025-07-21,275.0,180.80999755859375,499.2581787109375,576.1309814453125,89.23999786376953,522.1199951171875
2025-07-22,274.6400146484375,180.8000030517578,498.22003173828125,524.8048095703125,88.93000030517578,517.8099975585938
2025-07-23,276.4800109863281,181.0,506.9642333984375,529.1708984375,88.27999877929688,525.6599731445312
2025-07-24,277.17999267578125,183.5800018310547,512.1648559570312,541.581298828125,93.5,530.8499755859375
2025-07-25,279.54998779296875,184.44000244140625,512.0250854492188,544.5517578125,94.83999633789062,534.9500122070312
2025-07-28,274.1199951171875,182.7899932861328,506.5849304199219,551.0311279296875,95.13999938964844,530.4099731445312
2025-07-29,274.6000061035156,184.7100067138672,509.57952880859375,555.4370727539062,95.83000183105469,530.7899780273438
2025-07-30,277.739990234375,185.74000549316406,511.6956787109375,557.3709106445312,95.98999786376953,529.3300170898438
2025-07-31,278.2799987792969,184.8300018310547,514.800048828125,559.5738525390625,96.22000122070312,551.0999755859375
2025-08-01,280.760009765625,184.60000610351562,500.3761291503906,555.62646484375,95.16999816894531,545.6599731445312
2025-08-04,287.1000061035156,188.4499969482422,518.9126586914062,570.2198486328125,96.91000366210938,563.02001953125
2025-08-05,284.6099853515625,187.39999389648438,514.9198608398438,555.9553833007812,96.33999633789062,563.02001953125
2025-08-06,281.3500061035156,188.0500030517578,516.5469360351562,546.555419921875,96.55999755859375,562.5599975585938
2025-08-07,280.95001220703125,188.02000427246094,513.1331176757812,543.7543334960938,96.44999694824219,559.1300048828125
2025-08-08,282.2099914550781,186.39999389648438,514.36083984375,544.9405517578125,96.8499984741211,556.8699951171875
2025-08-11,285.75,185.92999267578125,510.7374267578125,547.6419677734375,96.94000244140625,555.8800048828125
2025-08-12,275.8800048828125,182.74000549316406,515.1195068359375,548.4094848632812,96.12999725341797,559.0599975585938
2025-08-13,273.9200134277344,181.41000366210938,520.1903686523438,565.62451171875,95.56999969482422,562.5800170898438
2025-08-14,274.70001220703125,182.67999267578125,520.3800048828125,563.9199829101562,95.4000015258789,564.1500244140625
2025-08-15,273.9200134277344,181.1999969482422,516.4600219726562,557.02001953125,94.68000030517578,556.469970703125
2025-08-18,270.4100036621094,177.94000244140625,509.2200012207031,555.6699829101562,94.33999633789062,551.2100219726562
2025-08-19,271.489990234375,178.27000427246094,512.0,568.1599731445312,93.83000183105469,554.4299926757812
2025-08-20,274.6099853515625,181.3000030517578,514.9500122070312,574.25,94.5,557.030029296875
2025-08-21,273.32000732421875,179.22999572753906,509.4700012207031,567.27001953125,93.95999908447266,552.4400024414062
2025-08-22,269.5199890136719,180.6699981689453,516.010009765625,574.8300170898438,94.75,556.6599731445312
